date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2012-09-02;72.0;88.0;1.85;0.0;0.0;3.58;340;17.0;340;23.04;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No
2012-09-14;63.0;80.1;0.0;0.0;0.0;1.57;50;8.95;50;12.08;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-09-25;48.0;77.0;0.0;0.0;0.0;3.13;210;12.08;240;14.99;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-10-02;66.9;88.0;0.12;0.0;0.0;7.61;210;12.97;210;17.0;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-10-07;50.0;64.9;0.23;0.0;0.0;6.71;40;17.0;50;23.04;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No
2012-10-14;44.1;78.1;0.0;0.0;0.0;3.8;230;14.99;230;17.9;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-10-16;44.1;70.0;0.0;0.0;0.0;2.01;280;8.95;10;12.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-10-25;50.0;80.1;0.0;0.0;0.0;1.34;100;8.05;140;12.08;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-10-27;62.1;66.0;0.0;0.0;0.0;12.08;40;21.03;30;29.97;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2012-11-01;37.9;57.9;0.0;0.0;0.0;5.14;270;16.11;300;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
