date;temperaturemin;temperaturemax;precipitation;snowfall;snowdepth;avgwindspeed;fastest2minwinddir;fastest2minwindspeed;fastest5secwinddir;fastest5secwindspeed;fog;fogheavy;mist;rain;fogground;ice;glaze;drizzle;snow;freezingrain;smokehaze;thunder;highwind;hail;blowingsnow;dust;freezingfog
2017-12-17;27.1;51.1;0.0;0.0;0.0;2.24;240;10.07;200;12.08;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No
2017-12-19;36.0;70.0;0.0;0.0;0.0;4.47;230;14.09;240;17.0;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-12-28;18.1;30.2;0.0;0.0;0.0;7.83;70;16.11;80;21.03;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2017-12-31;23.2;35.1;0.0;0.0;0.0;10.07;50;18.12;50;23.94;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-02;12.2;32.0;0.0;0.0;0.0;2.91;30;10.07;20;14.09;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-10;43.0;61.0;0.0;0.0;0.0;4.92;90;10.07;100;17.0;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-18;10.2;34.0;0.0;0.2;5.91;5.59;270;12.97;320;19.01;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-20;26.2;55.9;0.0;0.0;1.18;5.59;220;12.97;230;16.11;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-22;37.9;62.1;0.0;0.0;0.0;4.7;190;18.12;200;25.05;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
2018-01-27;31.1;66.9;0.0;0.0;0.0;6.26;170;17.0;190;21.92;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No
